Council,No_Of_Connections,Month,Year,Type
Carlow,142,February,2007,County
Cavan,118,February,2007,County
Clare,237,February,2007,County
Cork,646,February,2007,County
Donegal,370,February,2007,County
Dun Laoghaire,257,February,2007,County
Fingal,450,February,2007,County
Galway,359,February,2007,County
Kerry,255,February,2007,County
Kildare,294,February,2007,County
Kilkenny,150,February,2007,County
Laois,192,February,2007,County
Leitrim,97,February,2007,County
Limerick,211,February,2007,County
Longford,201,February,2007,County
Louth,139,February,2007,County
Mayo,230,February,2007,County
Meath,196,February,2007,County
Monaghan,104,February,2007,County
North Tipperary,85,February,2007,County
Offaly,115,February,2007,County
Roscommon,96,February,2007,County
Sligo,80,February,2007,County
South Dublin,393,February,2007,County
South Tipperary,126,February,2007,County
Waterford,119,February,2007,County
Westmeath,114,February,2007,County
Wexford,196,February,2007,County
Carlow,126,March,2007,County
Cavan,170,March,2007,County
Clare,197,March,2007,County
Cork,800,March,2007,County
Donegal,321,March,2007,County
Dun Laoghaire,100,March,2007,County
Fingal,541,March,2007,County
Galway,332,March,2007,County
Kerry,243,March,2007,County
Kildare,285,March,2007,County
Kilkenny,175,March,2007,County
Laois,225,March,2007,County
Leitrim,76,March,2007,County
Limerick,222,March,2007,County
Longford,109,March,2007,County
Louth,154,March,2007,County
Mayo,235,March,2007,County
Meath,285,March,2007,County
Monaghan,94,March,2007,County
North Tipperary,87,March,2007,County
Offaly,92,March,2007,County
Roscommon,119,March,2007,County
Sligo,136,March,2007,County
South Dublin,272,March,2007,County
South Tipperary,145,March,2007,County
Waterford,93,March,2007,County
Westmeath,112,March,2007,County
Wexford,210,March,2007,County
Carlow,101,April,2007,County
Cavan,142,April,2007,County
Clare,192,April,2007,County
Cork,597,April,2007,County
Donegal,380,April,2007,County
Dun Laoghaire,204,April,2007,County
Fingal,449,April,2007,County
Galway,264,April,2007,County
Kerry,249,April,2007,County
Kildare,305,April,2007,County
Kilkenny,121,April,2007,County
Laois,157,April,2007,County
Leitrim,118,April,2007,County
Limerick,122,April,2007,County
Longford,136,April,2007,County
Louth,99,April,2007,County
Mayo,190,April,2007,County
Meath,287,April,2007,County
