Council,No_Of_Connections,Month,Year,Type
Leitrim,10,September,2011,County
Limerick,18,September,2011,County
Longford,10,September,2011,County
Louth,25,September,2011,County
Mayo,70,September,2011,County
Meath,30,September,2011,County
Monaghan,18,September,2011,County
North Tipperary,22,September,2011,County
Offaly,8,September,2011,County
Roscommon,14,September,2011,County
Sligo,16,September,2011,County
South Dublin,9,September,2011,County
South Tipperary,15,September,2011,County
Waterford,16,September,2011,County
Westmeath,21,September,2011,County
Wexford,54,September,2011,County
Carlow,29.0,October,2011,County
Cavan,13.0,October,2011,County
Clare,32.0,October,2011,County
Cork,101.0,October,2011,County
Donegal,49.0,October,2011,County
Dun Laoghaire,5.0,October,2011,County
Fingal,44.0,October,2011,County
Galway,37.0,October,2011,County
Kerry,26.0,October,2011,County
Kildare,32.0,October,2011,County
Kilkenny,21.0,October,2011,County
Laois,14.0,October,2011,County
Leitrim,1.0,October,2011,County
Limerick,22.0,October,2011,County
Longford,8.0,October,2011,County
Louth,18.0,October,2011,County
Mayo,29.0,October,2011,County
Meath,28.0,October,2011,County
Monaghan,17.0,October,2011,County
North Tipperary,20.0,October,2011,County
Offaly,16.0,October,2011,County
Roscommon,14.0,October,2011,County
Sligo,14.0,October,2011,County
South Dublin,20.0,October,2011,County
South Tipperary,12.0,October,2011,County
Waterford,19.0,October,2011,County
Westmeath,11.0,October,2011,County
Wexford,35.0,October,2011,County
Carlow,17.0,November,2011,County
Cavan,28.0,November,2011,County
Clare,32.0,November,2011,County
Cork,135.0,November,2011,County
Donegal,45.0,November,2011,County
Dun Laoghaire,12.0,November,2011,County
Fingal,40.0,November,2011,County
Galway,58.0,November,2011,County
Kerry,25.0,November,2011,County
Kildare,40.0,November,2011,County
Kilkenny,20.0,November,2011,County
Laois,29.0,November,2011,County
Leitrim,9.0,November,2011,County
Limerick,49.0,November,2011,County
Longford,5.0,November,2011,County
Louth,19.0,November,2011,County
Mayo,43.0,November,2011,County
Meath,35.0,November,2011,County
Monaghan,18.0,November,2011,County
North Tipperary,24.0,November,2011,County
Offaly,22.0,November,2011,County
Roscommon,14.0,November,2011,County
Sligo,18.0,November,2011,County
South Dublin,25.0,November,2011,County
South Tipperary,16.0,November,2011,County
Waterford,16.0,November,2011,County
Westmeath,15.0,November,2011,County
Wexford,34.0,November,2011,County
Carlow,13.0,December,2011,County
Cavan,14.0,December,2011,County
Clare,22.0,December,2011,County
Cork,115.0,December,2011,County
Donegal,38.0,December,2011,County
Dun Laoghaire,11.0,December,2011,County
Fingal,30.0,December,2011,County
Galway,67.0,December,2011,County
Kerry,47.0,December,2011,County
Kildare,49.0,December,2011,County
Kilkenny,32.0,December,2011,County
Laois,15.0,December,2011,County
Leitrim,8.0,December,2011,County
Limerick,36.0,December,2011,County
Longford,9.0,December,2011,County
Louth,20.0,December,2011,County
Mayo,47.0,December,2011,County
Meath,25.0,December,2011,County
Monaghan,13.0,December,2011,County
North Tipperary,22.0,December,2011,County
Offaly,20.0,December,2011,County
Roscommon,15.0,December,2011,County
Sligo,9.0,December,2011,County
South Dublin,9.0,December,2011,County
South Tipperary,13.0,December,2011,County
Waterford,26.0,December,2011,County
Westmeath,15.0,December,2011,County
Wexford,23.0,December,2011,County
Carlow,7.0,January,2012,County
Cavan,9.0,January,2012,County
Clare,37.0,January,2012,County
Cork,69.0,January,2012,County
Donegal,57.0,January,2012,County
Dun Laoghaire,2.0,January,2012,County
Fingal,22.0,January,2012,County
Galway,41.0,January,2012,County
Kerry,15.0,January,2012,County
Kildare,21.0,January,2012,County
Kilkenny,8.0,January,2012,County
Laois,9.0,January,2012,County
Leitrim,11.0,January,2012,County
Limerick,11.0,January,2012,County
Longford,3.0,January,2012,County
Louth,14.0,January,2012,County
Mayo,15.0,January,2012,County
Meath,22.0,January,2012,County
Monaghan,15.0,January,2012,County
North Tipperary,13.0,January,2012,County
Offaly,11.0,January,2012,County
Roscommon,14.0,January,2012,County
Sligo,28.0,January,2012,County
South Dublin,49.0,January,2012,County
South Tipperary,7.0,January,2012,County
Waterford,10.0,January,2012,County
Westmeath,13.0,January,2012,County
Wexford,17.0,January,2012,County
Carlow,12.0,February,2012,County
Cavan,12.0,February,2012,County
Clare,20.0,February,2012,County
Cork,71.0,February,2012,County
Donegal,60.0,February,2012,County
Dun Laoghaire,9.0,February,2012,County
Fingal,23.0,February,2012,County
Galway,32.0,February,2012,County
Kerry,34.0,February,2012,County
Kildare,40.0,February,2012,County
Kilkenny,13.0,February,2012,County
Laois,18.0,February,2012,County
Leitrim,5.0,February,2012,County
Limerick,14.0,February,2012,County
Longford,7.0,February,2012,County
Louth,11.0,February,2012,County
Mayo,18.0,February,2012,County
Meath,26.0,February,2012,County
Monaghan,33.0,February,2012,County
North Tipperary,18.0,February,2012,County
Offaly,11.0,February,2012,County
Roscommon,14.0,February,2012,County
Sligo,34.0,February,2012,County
South Dublin,8.0,February,2012,County
South Tipperary,9.0,February,2012,County
Waterford,14.0,February,2012,County
Westmeath,12.0,February,2012,County
Wexford,17.0,February,2012,County
Carlow,8.0,March,2012,County
Cavan,16.0,March,2012,County
Clare,14.0,March,2012,County
Cork,85.0,March,2012,County
Donegal,42.0,March,2012,County
Dun Laoghaire,6.0,March,2012,County
Fingal,35.0,March,2012,County
Galway,40.0,March,2012,County
Kerry,31.0,March,2012,County
Kildare,30.0,March,2012,County
Kilkenny,12.0,March,2012,County
Laois,13.0,March,2012,County
Leitrim,14.0,March,2012,County
Limerick,16.0,March,2012,County
Longford,15.0,March,2012,County
Louth,15.0,March,2012,County
Mayo,25.0,March,2012,County
Meath,21.0,March,2012,County
Monaghan,8.0,March,2012,County
North Tipperary,14.0,March,2012,County
Offaly,6.0,March,2012,County
Roscommon,8.0,March,2012,County
Sligo,33.0,March,2012,County
South Dublin,8.0,March,2012,County
South Tipperary,9.0,March,2012,County
Waterford,10.0,March,2012,County
Westmeath,8.0,March,2012,County
Wexford,40.0,March,2012,County
Carlow,9.0,April,2012,County
Cavan,9.0,April,2012,County
Clare,12.0,April,2012,County
Cork,62.0,April,2012,County
Donegal,34.0,April,2012,County
Dun Laoghaire,7.0,April,2012,County
Fingal,17.0,April,2012,County
Galway,51.0,April,2012,County
Kerry,24.0,April,2012,County
Kildare,24.0,April,2012,County
Kilkenny,14.0,April,2012,County
Laois,45.0,April,2012,County
Leitrim,5.0,April,2012,County
Limerick,20.0,April,2012,County
Longford,20.0,April,2012,County
Louth,9.0,April,2012,County
Mayo,23.0,April,2012,County
Meath,24.0,April,2012,County
Monaghan,12.0,April,2012,County
North Tipperary,10.0,April,2012,County
Offaly,9.0,April,2012,County
Roscommon,15.0,April,2012,County
Sligo,18.0,April,2012,County
South Dublin,12.0,April,2012,County
South Tipperary,9.0,April,2012,County
Waterford,14.0,April,2012,County
Westmeath,22.0,April,2012,County
Wexford,27.0,April,2012,County
Carlow,10.0,May,2012,County
Cavan,15.0,May,2012,County
Clare,22.0,May,2012,County
Cork,105.0,May,2012,County
Donegal,37.0,May,2012,County
Dun Laoghaire,7.0,May,2012,County
Fingal,22.0,May,2012,County
Galway,42.0,May,2012,County
Kerry,37.0,May,2012,County
Kildare,23.0,May,2012,County
Kilkenny,6.0,May,2012,County
Laois,29.0,May,2012,County
Leitrim,7.0,May,2012,County
Limerick,24.0,May,2012,County
Longford,6.0,May,2012,County
Louth,17.0,May,2012,County
Mayo,28.0,May,2012,County
Meath,32.0,May,2012,County
Monaghan,9.0,May,2012,County
North Tipperary,11.0,May,2012,County
Offaly,17.0,May,2012,County
Roscommon,11.0,May,2012,County
Sligo,18.0,May,2012,County
South Dublin,12.0,May,2012,County
South Tipperary,6.0,May,2012,County
Waterford,12.0,May,2012,County
Westmeath,10.0,May,2012,County
Wexford,26.0,May,2012,County
Carlow,10.0,June,2012,County
Cavan,19.0,June,2012,County
Clare,21.0,June,2012,County
Cork,63.0,June,2012,County
Donegal,40.0,June,2012,County
Dun Laoghaire,6.0,June,2012,County
Fingal,48.0,June,2012,County
Galway,25.0,June,2012,County
Kerry,23.0,June,2012,County
Kildare,32.0,June,2012,County
Kilkenny,12.0,June,2012,County
Laois,16.0,June,2012,County
Leitrim,8.0,June,2012,County
Limerick,23.0,June,2012,County
Longford,14.0,June,2012,County
Louth,13.0,June,2012,County
Mayo,28.0,June,2012,County
Meath,24.0,June,2012,County
Monaghan,7.0,June,2012,County
North Tipperary,6.0,June,2012,County
Offaly,13.0,June,2012,County
Roscommon,12.0,June,2012,County
Sligo,52.0,June,2012,County
South Dublin,8.0,June,2012,County
South Tipperary,10.0,June,2012,County
Waterford,17.0,June,2012,County
Westmeath,16.0,June,2012,County
Wexford,24.0,June,2012,County
Carlow,15.0,July,2012,County
Cavan,16.0,July,2012,County
Clare,14.0,July,2012,County
Cork,79.0,July,2012,County
Donegal,45.0,July,2012,County
Dun Laoghaire,10.0,July,2012,County
Fingal,35.0,July,2012,County
Galway,34.0,July,2012,County
Kerry,25.0,July,2012,County
Kildare,17.0,July,2012,County
Kilkenny,11.0,July,2012,County
Laois,17.0,July,2012,County
Leitrim,1.0,July,2012,County
Limerick,10.0,July,2012,County
Longford,13.0,July,2012,County
Louth,23.0,July,2012,County
Mayo,22.0,July,2012,County
Meath,48.0,July,2012,County
Monaghan,7.0,July,2012,County
North Tipperary,19.0,July,2012,County
Offaly,15.0,July,2012,County
Roscommon,13.0,July,2012,County
Sligo,9.0,July,2012,County
South Dublin,18.0,July,2012,County
South Tipperary,15.0,July,2012,County
Waterford,14.0,July,2012,County
Westmeath,14.0,July,2012,County
Wexford,21.0,July,2012,County
Carlow,8.0,August,2012,County
Cavan,18.0,August,2012,County
Clare,27.0,August,2012,County
Cork,87.0,August,2012,County
Donegal,50.0,August,2012,County
Dun Laoghaire,8.0,August,2012,County
Fingal,27.0,August,2012,County
Galway,40.0,August,2012,County
Kerry,22.0,August,2012,County
Kildare,26.0,August,2012,County
Kilkenny,9.0,August,2012,County
Laois,12.0,August,2012,County
Leitrim,10.0,August,2012,County
Limerick,19.0,August,2012,County
Longford,12.0,August,2012,County
Louth,36.0,August,2012,County
Mayo,27.0,August,2012,County
Meath,24.0,August,2012,County
Monaghan,22.0,August,2012,County
North Tipperary,14.0,August,2012,County
Offaly,9.0,August,2012,County
Roscommon,6.0,August,2012,County
Sligo,16.0,August,2012,County
South Dublin,17.0,August,2012,County
South Tipperary,7.0,August,2012,County
Waterford,4.0,August,2012,County
Westmeath,8.0,August,2012,County
Wexford,17.0,August,2012,County
Carlow,7.0,September,2012,County
Cavan,15.0,September,2012,County
Clare,21.0,September,2012,County
Cork,84.0,September,2012,County
Donegal,36.0,September,2012,County
Dun Laoghaire,15.0,September,2012,County
Fingal,17.0,September,2012,County
Galway,37.0,September,2012,County
Kerry,20.0,September,2012,County
Kildare,39.0,September,2012,County
Kilkenny,13.0,September,2012,County
Laois,27.0,September,2012,County
Leitrim,9.0,September,2012,County
Limerick,20.0,September,2012,County
Longford,11.0,September,2012,County
Louth,22.0,September,2012,County
Mayo,33.0,September,2012,County
Meath,27.0,September,2012,County
Monaghan,9.0,September,2012,County
North Tipperary,14.0,September,2012,County
Offaly,10.0,September,2012,County
Roscommon,9.0,September,2012,County
Sligo,11.0,September,2012,County
South Dublin,3.0,September,2012,County
South Tipperary,9.0,September,2012,County
Waterford,15.0,September,2012,County
Westmeath,18.0,September,2012,County
Wexford,24.0,September,2012,County
Carlow,10.0,October,2012,County
Cavan,22.0,October,2012,County
Clare,23.0,October,2012,County
Cork,74.0,October,2012,County
Donegal,34.0,October,2012,County
Dun Laoghaire,18.0,October,2012,County
Fingal,25.0,October,2012,County
Galway,48.0,October,2012,County
Kerry,62.0,October,2012,County
Kildare,31.0,October,2012,County
Kilkenny,35.0,October,2012,County
Laois,17.0,October,2012,County
Leitrim,10.0,October,2012,County
Limerick,16.0,October,2012,County
Longford,5.0,October,2012,County
Louth,33.0,October,2012,County
Mayo,16.0,October,2012,County
Meath,34.0,October,2012,County
Monaghan,10.0,October,2012,County
North Tipperary,13.0,October,2012,County
Offaly,12.0,October,2012,County
Roscommon,10.0,October,2012,County
Sligo,24.0,October,2012,County
South Dublin,28.0,October,2012,County
South Tipperary,9.0,October,2012,County
Waterford,9.0,October,2012,County
Westmeath,19.0,October,2012,County
Wexford,32.0,October,2012,County
Carlow,13.0,November,2012,County
Cavan,24.0,November,2012,County
Clare,24.0,November,2012,County
Cork,98.0,November,2012,County
Donegal,33.0,November,2012,County
Dun Laoghaire,34.0,November,2012,County
Fingal,47.0,November,2012,County
Galway,42.0,November,2012,County
Kerry,33.0,November,2012,County
Kildare,37.0,November,2012,County
Kilkenny,13.0,November,2012,County
Laois,23.0,November,2012,County
Leitrim,3.0,November,2012,County
Limerick,27.0,November,2012,County
Longford,6.0,November,2012,County
Louth,29.0,November,2012,County
Mayo,34.0,November,2012,County
Meath,39.0,November,2012,County
Monaghan,11.0,November,2012,County
North Tipperary,10.0,November,2012,County
Offaly,9.0,November,2012,County
Roscommon,15.0,November,2012,County
Sligo,12.0,November,2012,County
South Dublin,22.0,November,2012,County
South Tipperary,8.0,November,2012,County
Waterford,28.0,November,2012,County
Westmeath,15.0,November,2012,County
Wexford,36.0,November,2012,County
Carlow,7.0,December,2012,County
Cavan,18.0,December,2012,County
Clare,21.0,December,2012,County
Cork,88.0,December,2012,County
Donegal,43.0,December,2012,County
Dun Laoghaire,53.0,December,2012,County
Fingal,46.0,December,2012,County
Galway,35.0,December,2012,County
Kerry,22.0,December,2012,County
Kildare,52.0,December,2012,County
Kilkenny,11.0,December,2012,County
Laois,14.0,December,2012,County
Leitrim,3.0,December,2012,County
Limerick,30.0,December,2012,County
Longford,3.0,December,2012,County
Louth,46.0,December,2012,County
Mayo,21.0,December,2012,County
Meath,32.0,December,2012,County
Monaghan,6.0,December,2012,County
North Tipperary,9.0,December,2012,County
Offaly,22.0,December,2012,County
Roscommon,18.0,December,2012,County
Sligo,10.0,December,2012,County
South Dublin,35.0,December,2012,County
South Tipperary,15.0,December,2012,County
Waterford,15.0,December,2012,County
Westmeath,15.0,December,2012,County
Wexford,24.0,December,2012,County
Carlow,6.0,January,2013,County
Cavan,11.0,January,2013,County
Clare,12.0,January,2013,County
Cork,51.0,January,2013,County
Donegal,17.0,January,2013,County
Dun Laoghaire,6.0,January,2013,County
Fingal,17.0,January,2013,County
Galway,24.0,January,2013,County
Kerry,20.0,January,2013,County
Kildare,24.0,January,2013,County
Kilkenny,10.0,January,2013,County
Laois,8.0,January,2013,County
Leitrim,17.0,January,2013,County
Limerick,14.0,January,2013,County
Longford,4.0,January,2013,County
Louth,25.0,January,2013,County
Mayo,16.0,January,2013,County
Meath,16.0,January,2013,County
Monaghan,11.0,January,2013,County
North Tipperary,7.0,January,2013,County
Offaly,7.0,January,2013,County
Roscommon,17.0,January,2013,County
Sligo,31.0,January,2013,County
South Dublin,13.0,January,2013,County
South Tipperary,10.0,January,2013,County
Waterford,8.0,January,2013,County
Westmeath,12.0,January,2013,County
Wexford,16.0,January,2013,County
Carlow,10.0,February,2013,County
Cavan,19.0,February,2013,County
Clare,12.0,February,2013,County
Cork,56.0,February,2013,County
Donegal,41.0,February,2013,County
Dun Laoghaire,18.0,February,2013,County
Fingal,30.0,February,2013,County
Galway,42.0,February,2013,County
Kerry,26.0,February,2013,County
Kildare,40.0,February,2013,County
Kilkenny,4.0,February,2013,County
Laois,11.0,February,2013,County
Leitrim,7.0,February,2013,County
Limerick,16.0,February,2013,County
Longford,9.0,February,2013,County
Louth,10.0,February,2013,County
Mayo,22.0,February,2013,County
Meath,24.0,February,2013,County
Monaghan,9.0,February,2013,County
North Tipperary,7.0,February,2013,County
Offaly,6.0,February,2013,County
Roscommon,18.0,February,2013,County
Sligo,8.0,February,2013,County
South Dublin,7.0,February,2013,County
South Tipperary,7.0,February,2013,County
Waterford,12.0,February,2013,County
Westmeath,11.0,February,2013,County
Wexford,16.0,February,2013,County
Carlow,11.0,March,2013,County
Cavan,15.0,March,2013,County
Clare,22.0,March,2013,County
Cork,54.0,March,2013,County
Donegal,34.0,March,2013,County
Dun Laoghaire,9.0,March,2013,County
Fingal,32.0,March,2013,County
Galway,38.0,March,2013,County
Kerry,15.0,March,2013,County
Kildare,26.0,March,2013,County
Kilkenny,13.0,March,2013,County
Laois,11.0,March,2013,County
Leitrim,3.0,March,2013,County
Limerick,20.0,March,2013,County
Longford,8.0,March,2013,County
Louth,22.0,March,2013,County
Mayo,16.0,March,2013,County
Meath,36.0,March,2013,County
Monaghan,5.0,March,2013,County
North Tipperary,8.0,March,2013,County
Offaly,12.0,March,2013,County
Roscommon,12.0,March,2013,County
Sligo,11.0,March,2013,County
South Dublin,6.0,March,2013,County
South Tipperary,19.0,March,2013,County
Waterford,12.0,March,2013,County
Westmeath,13.0,March,2013,County
Wexford,20.0,March,2013,County
Carlow,10.0,April,2013,County
Cavan,17.0,April,2013,County
Clare,21.0,April,2013,County
Cork,69.0,April,2013,County
Donegal,29.0,April,2013,County
Dun Laoghaire,9.0,April,2013,County
Fingal,21.0,April,2013,County
Galway,38.0,April,2013,County
Kerry,17.0,April,2013,County
Kildare,60.0,April,2013,County
Kilkenny,18.0,April,2013,County
Laois,24.0,April,2013,County
Leitrim,13.0,April,2013,County
Limerick,27.0,April,2013,County
Longford,7.0,April,2013,County
Louth,23.0,April,2013,County
Mayo,21.0,April,2013,County
Meath,27.0,April,2013,County
Monaghan,10.0,April,2013,County
North Tipperary,15.0,April,2013,County
Offaly,11.0,April,2013,County
Roscommon,15.0,April,2013,County
Sligo,8.0,April,2013,County
South Dublin,4.0,April,2013,County
South Tipperary,16.0,April,2013,County
Waterford,7.0,April,2013,County
Westmeath,19.0,April,2013,County
Wexford,30.0,April,2013,County
Carlow,8.0,May,2013,County
Cavan,13.0,May,2013,County
Clare,22.0,May,2013,County
Cork,83.0,May,2013,County
Donegal,40.0,May,2013,County
Dun Laoghaire,6.0,May,2013,County
Fingal,44.0,May,2013,County
Galway,28.0,May,2013,County
Kerry,31.0,May,2013,County
Kildare,26.0,May,2013,County
Kilkenny,15.0,May,2013,County
Laois,14.0,May,2013,County
Leitrim,4.0,May,2013,County
Limerick,20.0,May,2013,County
Longford,7.0,May,2013,County
Louth,19.0,May,2013,County
Mayo,25.0,May,2013,County
Meath,26.0,May,2013,County
Monaghan,8.0,May,2013,County
North Tipperary,13.0,May,2013,County
Offaly,10.0,May,2013,County
Roscommon,10.0,May,2013,County
Sligo,8.0,May,2013,County
South Dublin,9.0,May,2013,County
South Tipperary,9.0,May,2013,County
Waterford,8.0,May,2013,County
Westmeath,9.0,May,2013,County
Wexford,11.0,May,2013,County
Carlow,26.0,June,2013,County
Cavan,10.0,June,2013,County
Clare,15.0,June,2013,County
Cork,67.0,June,2013,County
Donegal,31.0,June,2013,County
Dun Laoghaire,13.0,June,2013,County
Fingal,22.0,June,2013,County
Galway,21.0,June,2013,County
Kerry,25.0,June,2013,County
Kildare,33.0,June,2013,County
Kilkenny,21.0,June,2013,County
Laois,8.0,June,2013,County
Leitrim,3.0,June,2013,County
Limerick,14.0,June,2013,County
Longford,2.0,June,2013,County
Louth,52.0,June,2013,County
Mayo,23.0,June,2013,County
Meath,18.0,June,2013,County
Monaghan,9.0,June,2013,County
North Tipperary,4.0,June,2013,County
Offaly,13.0,June,2013,County
Roscommon,10.0,June,2013,County
Sligo,10.0,June,2013,County
South Dublin,14.0,June,2013,County
South Tipperary,4.0,June,2013,County
Waterford,12.0,June,2013,County
Westmeath,10.0,June,2013,County
Wexford,25.0,June,2013,County
Carlow,21.0,July,2013,County
Cavan,15.0,July,2013,County
Clare,19.0,July,2013,County
Cork,86.0,July,2013,County
Donegal,29.0,July,2013,County
Dun Laoghaire,10.0,July,2013,County
Fingal,55.0,July,2013,County
Galway,37.0,July,2013,County
Kerry,38.0,July,2013,County
Kildare,37.0,July,2013,County
Kilkenny,21.0,July,2013,County
Laois,19.0,July,2013,County
Leitrim,6.0,July,2013,County
Limerick,15.0,July,2013,County
Longford,15.0,July,2013,County
Louth,40.0,July,2013,County
Mayo,23.0,July,2013,County
Meath,21.0,July,2013,County
Monaghan,6.0,July,2013,County
North Tipperary,9.0,July,2013,County
Offaly,5.0,July,2013,County
Roscommon,9.0,July,2013,County
Sligo,7.0,July,2013,County
South Dublin,11.0,July,2013,County
South Tipperary,5.0,July,2013,County
Waterford,7.0,July,2013,County
Westmeath,14.0,July,2013,County
Wexford,26.0,July,2013,County
Carlow,5.0,August,2013,County
Cavan,16.0,August,2013,County
Clare,14.0,August,2013,County
Cork,77.0,August,2013,County
Donegal,33.0,August,2013,County
Dun Laoghaire,17.0,August,2013,County
Fingal,14.0,August,2013,County
Galway,23.0,August,2013,County
Kerry,22.0,August,2013,County
Kildare,53.0,August,2013,County
Kilkenny,14.0,August,2013,County
Laois,15.0,August,2013,County
Leitrim,8.0,August,2013,County
Limerick,13.0,August,2013,County
Longford,10.0,August,2013,County
Louth,14.0,August,2013,County
Mayo,24.0,August,2013,County
Meath,21.0,August,2013,County
Monaghan,15.0,August,2013,County
North Tipperary,15.0,August,2013,County
Offaly,10.0,August,2013,County
Roscommon,6.0,August,2013,County
Sligo,15.0,August,2013,County
South Dublin,18.0,August,2013,County
South Tipperary,12.0,August,2013,County
Waterford,14.0,August,2013,County
Westmeath,13.0,August,2013,County
Wexford,20.0,August,2013,County
Carlow,28.0,September,2013,County
Cavan,11.0,September,2013,County
Clare,13.0,September,2013,County
Cork,82.0,September,2013,County
Donegal,35.0,September,2013,County
Dun Laoghaire,13.0,September,2013,County
Fingal,30.0,September,2013,County
Galway,49.0,September,2013,County
Kerry,31.0,September,2013,County
Kildare,33.0,September,2013,County
Kilkenny,13.0,September,2013,County
Laois,6.0,September,2013,County
Leitrim,9.0,September,2013,County
Limerick,16.0,September,2013,County
Longford,6.0,September,2013,County
Louth,30.0,September,2013,County
Mayo,20.0,September,2013,County
Meath,15.0,September,2013,County
Monaghan,20.0,September,2013,County
North Tipperary,14.0,September,2013,County
Offaly,7.0,September,2013,County
Roscommon,25.0,September,2013,County
Sligo,13.0,September,2013,County
South Dublin,13.0,September,2013,County
South Tipperary,10.0,September,2013,County
Waterford,13.0,September,2013,County
Westmeath,17.0,September,2013,County
Wexford,38.0,September,2013,County
Carlow,14.0,October,2013,County
Cavan,11.0,October,2013,County
Clare,19.0,October,2013,County
Cork,81.0,October,2013,County
Donegal,42.0,October,2013,County
Dun Laoghaire,49.0,October,2013,County
Fingal,33.0,October,2013,County
Galway,56.0,October,2013,County
Kerry,44.0,October,2013,County
Kildare,47.0,October,2013,County
Kilkenny,16.0,October,2013,County
Laois,19.0,October,2013,County
Leitrim,2.0,October,2013,County
Limerick,35.0,October,2013,County
Longford,8.0,October,2013,County
Louth,20.0,October,2013,County
Mayo,33.0,October,2013,County
Meath,23.0,October,2013,County
Monaghan,15.0,October,2013,County
North Tipperary,11.0,October,2013,County
Offaly,15.0,October,2013,County
Roscommon,13.0,October,2013,County
Sligo,13.0,October,2013,County
South Dublin,32.0,October,2013,County
South Tipperary,11.0,October,2013,County
Waterford,9.0,October,2013,County
Westmeath,13.0,October,2013,County
Wexford,25.0,October,2013,County
Carlow,14.0,November,2013,County
Cavan,14.0,November,2013,County
Clare,26.0,November,2013,County
Cork,90.0,November,2013,County
Donegal,41.0,November,2013,County
Dun Laoghaire,56.0,November,2013,County
Fingal,54.0,November,2013,County
Galway,42.0,November,2013,County
Kerry,29.0,November,2013,County
Kildare,34.0,November,2013,County
Kilkenny,21.0,November,2013,County
Laois,27.0,November,2013,County
Leitrim,10.0,November,2013,County
Limerick,24.0,November,2013,County
Longford,9.0,November,2013,County
Louth,23.0,November,2013,County
Mayo,39.0,November,2013,County
Meath,27.0,November,2013,County
Monaghan,22.0,November,2013,County
North Tipperary,13.0,November,2013,County
Offaly,15.0,November,2013,County
Roscommon,22.0,November,2013,County
Sligo,14.0,November,2013,County
South Dublin,38.0,November,2013,County
South Tipperary,17.0,November,2013,County
Waterford,10.0,November,2013,County
Westmeath,16.0,November,2013,County
Wexford,47.0,November,2013,County
Carlow,16.0,December,2013,County
Cavan,21.0,December,2013,County
Clare,20.0,December,2013,County
Cork,67.0,December,2013,County
Donegal,28.0,December,2013,County
Dun Laoghaire,54.0,December,2013,County
Fingal,43.0,December,2013,County
Galway,28.0,December,2013,County
Kerry,33.0,December,2013,County
Kildare,34.0,December,2013,County
Kilkenny,13.0,December,2013,County
Laois,26.0,December,2013,County
Leitrim,8.0,December,2013,County
Limerick,21.0,December,2013,County
Longford,5.0,December,2013,County
Louth,32.0,December,2013,County
Mayo,50.0,December,2013,County
Meath,32.0,December,2013,County
Monaghan,20.0,December,2013,County
North Tipperary,16.0,December,2013,County
Offaly,6.0,December,2013,County
Roscommon,17.0,December,2013,County
Sligo,23.0,December,2013,County
South Dublin,38.0,December,2013,County
South Tipperary,14.0,December,2013,County
Waterford,11.0,December,2013,County
Westmeath,11.0,December,2013,County
Wexford,32.0,December,2013,County
Cork,39,January,2006,City
Dublin,757,January,2006,City
Galway,68,January,2006,City
Limerick,19,January,2006,City
Waterford,69,January,2006,City
Cork,22,February,2006,City
Dublin,618,February,2006,City
Galway,107,February,2006,City
Limerick,10,February,2006,City
Waterford,33,February,2006,City
Cork,93,March,2006,City
Dublin,560,March,2006,City
Galway,57,March,2006,City
Limerick,80,March,2006,City
Waterford,91,March,2006,City
Cork,31,April,2006,City
Dublin,225,April,2006,City
Galway,72,April,2006,City
Limerick,32,April,2006,City
Waterford,34,April,2006,City
Cork,162,May,2006,City
Dublin,496,May,2006,City
Galway,199,May,2006,City
Limerick,17,May,2006,City
Waterford,63,May,2006,City
Cork,110,June,2006,City
Dublin,717,June,2006,City
Galway,75,June,2006,City
Limerick,22,June,2006,City
Waterford,68,June,2006,City
Cork,57,July,2006,City
Dublin,685,July,2006,City
Galway,48,July,2006,City
Limerick,17,July,2006,City
Waterford,116,July,2006,City
Cork,141,August,2006,City
Dublin,783,August,2006,City
Galway,55,August,2006,City
Limerick,11,August,2006,City
Waterford,82,August,2006,City
Cork,96,September,2006,City
Dublin,847,September,2006,City
Galway,229,September,2006,City
Limerick,40,September,2006,City
Waterford,42,September,2006,City
Cork,103,October,2006,City
Dublin,690,October,2006,City
Galway,137,October,2006,City
Limerick,12,October,2006,City
Waterford,82,October,2006,City
Cork,108,November,2006,City
Dublin,755,November,2006,City
Galway,142,November,2006,City
Limerick,50,November,2006,City
Waterford,85,November,2006,City
Cork,103,December,2006,City
Dublin,613,December,2006,City
Galway,86,December,2006,City
Limerick,79,December,2006,City
Waterford,63,December,2006,City
Cork,83,January,2007,City
Dublin,446,January,2007,City
Galway,23,January,2007,City
Limerick,43,January,2007,City
Waterford,17,January,2007,City
Cork,123,February,2007,City
Dublin,562,February,2007,City
Galway,142,February,2007,City
Limerick,52,February,2007,City
Waterford,79,February,2007,City
Cork,168,March,2007,City
Dublin,677,March,2007,City
Galway,73,March,2007,City
Limerick,59,March,2007,City
Waterford,13,March,2007,City
Cork,99,April,2007,City
Dublin,273,April,2007,City
Galway,24,April,2007,City
Limerick,3,April,2007,City
Waterford,18,April,2007,City
Cork,87,May,2007,City
Dublin,674,May,2007,City
Galway,39,May,2007,City
Limerick,23,May,2007,City
Waterford,12,May,2007,City
Cork,158,June,2007,City
Dublin,418,June,2007,City
Galway,73,June,2007,City
Limerick,6,June,2007,City
Waterford,59,June,2007,City
Cork,85,July,2007,City
Dublin,454,July,2007,City
Galway,91,July,2007,City
Limerick,37,July,2007,City
Waterford,55,July,2007,City
Cork,58,August,2007,City
Dublin,606,August,2007,City
Galway,47,August,2007,City
Limerick,11,August,2007,City
Waterford,50,August,2007,City
Cork,76,September,2007,City
Dublin,491,September,2007,City
Galway,31,September,2007,City
